country,info
"Argentina","This South American nation is famous for tango, the Andes, and a long tradition of football excellence."
"Australia","This nation is known for its vast Outback, unique wildlife, and the Great Barrier Reef."
"Austria","This Central European nation is known for Alpine scenery, classical music, and Vienna's imperial heritage."
"Belgium","This Western European nation is known for medieval cities, chocolate, waffles, and major European institutions."
"Brazil","This giant South American nation is famous for the Amazon, carnival, and one of football's most celebrated traditions."
"Canada","This vast northern nation is known for immense forests, countless lakes, and a bilingual national tradition."
"China","This East Asian nation has the world's largest population and a civilization spanning thousands of years."
"Denmark","This Nordic kingdom is known for cycling culture, coastal islands, and a famous tradition of modern design."
"Egypt","This North African nation is famous for ancient pyramids, the Nile, and one of the world's oldest civilizations."
"Finland","This Nordic country is famous for thousands of lakes, extensive forests, and long winter nights."
"France","This Western European country is celebrated for cuisine, art, fashion, and one of the world's most recognizable towers."
"Germany","This Central European country is known for engineering, historic castles, and a major role in modern European history."
"Greece","This Mediterranean country is famous for ancient temples, mythology, and thousands of islands."
"India","This South Asian nation is known for enormous cultural diversity, the Himalayas, and the Taj Mahal."
"Indonesia","This Southeast Asian archipelago stretches across thousands of islands and is home to Komodo dragons."
"Ireland","This island nation is known for green landscapes, Celtic heritage, and a rich literary tradition."
"Italy","This Mediterranean country is famous for ancient Rome, Renaissance art, cuisine, and a distinctive boot-shaped peninsula."
"Japan","This East Asian island nation blends ancient traditions with advanced technology and is famous for cherry blossoms."
"Mexico","This North American country is known for ancient civilizations, colorful cuisine, and the Day of the Dead."
"Netherlands","This low-lying European country is famous for canals, tulips, cycling, and land reclaimed from the sea."
"New Zealand","This island nation is known for dramatic mountains, Maori heritage, and landscapes featured in major films."
"Norway","This Nordic country is famous for deep coastal fjords, Arctic landscapes, and the northern lights."
"Pakistan","This South Asian nation stretches from the Arabian Sea to the high mountains of the Karakoram."
"Philippines","This Southeast Asian archipelago is known for thousands of islands, tropical beaches, and a strong seafaring culture."
"Poland","This Central European country is known for medieval cities, a complex history, and the birthplace of Marie Curie."
"Portugal","This southwestern European country is known for Atlantic coastlines, maritime exploration, and port wine."
"Russia","This enormous Eurasian nation spans eleven time zones and contains vast forests, plains, and Arctic territory."
"Saudi Arabia","This Arabian Peninsula nation is home to Islam's two holiest cities and vast desert landscapes."
"South Africa","This southern African nation is known for diverse wildlife, several major ecosystems, and three capital cities."
"South Korea","This East Asian nation is known for K-pop, advanced technology, and a rapidly changing modern culture."
"Spain","This southwestern European country is famous for flamenco, diverse regional cuisines, and sunny Mediterranean coasts."
"Sweden","This Nordic country is known for forests, thousands of islands, innovative design, and long winter traditions."
"Switzerland","This Alpine country is famous for mountains, watches, chocolate, and a long tradition of political neutrality."
"Thailand","This Southeast Asian country is known for ornate temples, tropical beaches, and cuisine famous worldwide."
"Turkey","This transcontinental country bridges Europe and Asia and is known for Istanbul, ancient ruins, and diverse landscapes."
"Ukraine","This Eastern European country is known for fertile plains, a Black Sea coastline, and the Carpathian Mountains."
"United Arab Emirates","This federation on the Arabian Peninsula is known for futuristic skylines, desert landscapes, and major international hubs."
"United Kingdom","This island state is known for a constitutional monarchy, historic universities, and globally influential literature."
"United States","This large North American federation stretches from the Atlantic to the Pacific and contains highly varied landscapes."
"Hong Kong","This densely populated Asian territory is famous for a dramatic harbor skyline, steep hills, and a major financial center."
"Vietnam","This Southeast Asian country is known for long coastlines, rice cultivation, and a distinctive noodle-based cuisine."
"Angola","This southwestern African country has an Atlantic coastline, vast savannas, and a Portuguese colonial heritage."
"Bangladesh","This densely populated South Asian country lies on the Ganges-Brahmaputra delta and is known for extensive river systems."
"Belarus","This landlocked Eastern European country is known for broad forests, flat terrain, and a strong Slavic cultural heritage."
"Bulgaria","This southeastern European country combines Black Sea beaches, Balkan mountains, and one of Europe's oldest surviving states."
"Cambodia","This Southeast Asian country is home to Angkor's enormous temple complex and a long Khmer cultural tradition."
"Cameroon","This Central African country is often called a miniature version of the continent because of its varied landscapes."
"Chile","This long, narrow South American country stretches from the Atacama Desert to icy southern fjords."
"Colombia","This northern South American country is known for coffee, Caribbean and Pacific coasts, and the Andes."
"Congo","This Central African nation lies along the Congo River and has extensive tropical forests."
"Costa Rica","This Central American country is famous for rainforests, volcanoes, biodiversity, and a strong conservation tradition."
"Croatia","This Adriatic country is known for a spectacular island-dotted coastline and historic walled cities."
"Cuba","This Caribbean island nation is famous for classic cars, music, tobacco, and colorful colonial architecture."
"Cyprus","This eastern Mediterranean island is known for ancient ruins, sunny beaches, and a distinctive divided political landscape."
"Czech Republic","This Central European country is known for Prague's historic architecture, castles, and a long brewing tradition."
"Cote d'Ivoire","This West African country is a major cocoa producer and has a tropical southern coast along the Gulf of Guinea."
"Ecuador","This equatorial South American country contains Andes peaks, Pacific islands, and part of the Amazon basin."
"El Salvador","This small Central American country is known for volcanoes, Pacific beaches, and a strong coffee-growing tradition."
"Estonia","This Baltic country is known for forests, medieval Tallinn, and one of Europe's most digitally advanced societies."
"Ethiopia","This Horn of Africa nation has ancient highland cultures, dramatic landscapes, and a long written history."
"Israel","This eastern Mediterranean country contains sites sacred to several major religions and landscapes ranging from desert to coast."
"Kenya","This East African country is famous for safari wildlife, the Great Rift Valley, and long-distance running champions."
"Malaysia","This Southeast Asian country combines tropical rainforests, modern cities, and territories separated by the South China Sea."
"Morocco","This North African country is known for colorful markets, Atlas Mountains, and a long Atlantic and Mediterranean coastline."
"Serbia","This Balkan country is centered on the Danube and Sava rivers and connects Central and southeastern Europe."
"Afghanistan","This mountainous country is marked by rugged terrain, ancient trade routes, and diverse ethnic traditions."
"Albania","This Balkan country has a rugged Adriatic and Ionian coastline, mountain landscapes, and a distinct cultural heritage."
"Algeria","This North African country is the continent's largest by area, with Mediterranean coast in the north and Sahara to the south."
"Andorra","This tiny Pyrenean state is known for mountain scenery, ski resorts, and duty-free shopping."
"Antigua and Barbuda","This Caribbean island state is known for numerous beaches, sailing traditions, and a tropical maritime setting."
"Armenia","This mountainous Caucasus country has an ancient Christian heritage and is traditionally associated with a famous biblical mountain."
"Azerbaijan","This Caucasus country lies beside the Caspian Sea and is known for oil wealth, mud volcanoes, and ancient fire traditions."
"Bahamas","This Atlantic island nation is famous for turquoise waters, coral reefs, and hundreds of islands and cays."
"Bahrain","This small Gulf kingdom is an island state known historically for pearling and today for finance and motorsport."
"Barbados","This eastern Caribbean island is known for coral landscapes, cricket, and a strong cultural connection to Britain."
"Belize","This Central American country has English as its official language and contains part of the world's second-largest barrier reef system."
"Benin","This West African country has a Gulf of Guinea coastline and is closely associated with the history of the Dahomey kingdom."
"Bhutan","This Himalayan kingdom is known for dramatic mountain valleys, Buddhist monasteries, and a philosophy centered on national wellbeing."
