index,food,images
1338,Ice cream waffles,470
333,Chicken sandwich,381
938,Crab Dumplings in Soup,1961
1720,Chicken kebabs,1427
1856,Bibimbap with pork belly,998
1128,Curry chicken baked rice,927
613,Seafood pancake,862
407,Rice with curry chicken chop,822
25,Crispy chicken bibimbap,673
1163,Beef bibimbap,498
911,Chicken salad noodles,461
508,Chicken bibimbap,270
1027,Salmon sushi,1986
1153,Seafood pasta,1810
1944,Spring pancake,1226
627,Tuna salad,1126
741,Curry rice,995
1113,Green onion Chinese pancake,913
1968,Tonkatsu,874
511,Banana pancake,839
1236,Fresh meat soup dumplings,835
1103,Mango pancake,833
48,Wonton noodles,812
1673,Double chicken hamburger,810
1043,Curry fish ball,804
1297,cheesecake,649
225,Grilled salmon sushi,641
249,Shrimp sushi,598
436,Cod fish steak,554
164,Tiramisu cake,543
44,Fried crab with curry,513
816,Minced pork nigiri sushi,500
920,Chocolate covered croissant,495
1602,Kimchi fish,495
927,Shrimp dumpling king,494
1451,Beef pizza with black pepper,490
1676,Tuna pizza,486
1694,Chicken burger,486
835,Pancake,478
1648,Seafood paella,477
51,Crab roe salad,475
365,Rice covered with black pepper steak,473
304,Chicken breast salad,472
843,Crystal shrimp dumpling,458
1208,Curry shrimp,451
966,Ramen with beef,447
663,Kimchi cake,440
15,Durian pancake,434
1890,Egg pancake,421
1936,Chocolate donut,416
235,Egg pancakes,414
159,Fried shredded pancake,411
1688,Roasted corn kebabs,407
90,Fried spring rolls with three pieces of silk,398
1397,Beef burger,398
1812,Golden pancake,393
1218,Bacon bibimbap,386
1608,Curry omelet rice,384
693,Sour soup dumplings,371
1468,Durian cheesecake,365
534,Stir-fried chicken with rice pepper,364
1605,Vegetable pancake,361
262,Rice burger,356
270,Salmon salad,348
1902,Original soup wonton,346
1953,Shrimp pizza,343
1015,Rice wine dumplings,341
695,Hot pot ice cream,325
1760,Kebabs with soy sauce,324
1386,Spicy cabbage bibimbap,314
788,Roasted garlic naan,293
1861,Roast chicken pizza,277
1429,Mango shrimp salad,248
1895,Chocolate egg waffles,244
1548,Shrimp salad,198
1309,Black pepper steak rice,190
1654,Kimchi hot pot,183
1283,Shrimp fried rice,1540
1506,Chocolate mousse cake,1251
215,Beef noodle soup,946
1560,Beef and egg fried rice,517
482,Shrimp and crab porridge,499
1811,Fried rice with beef,496
945,Teriyaki chicken chop rice,462
1357,Pork fried rice,454
1160,Salmon fried rice,440
1989,Tofu soup rice cake,350
1559,Pineapple seafood fried rice,227
1892,Noodles with chicken leg soup,203
1503,Vegetable salad,1828
382,Wonton,1771
823,Pan-fried chicken chop,1476
340,Fried dumplings,1427
685,Fried chicken,1357
500,Kelp salad,1321
1151,Unagi sushi,1304
496,Egg waffles,1297
1402,French fries,1103
1254,Red oil dumplings,1084
1273,Chinese hamburger,1057
578,Tempura,995
772,Seaweed warship sushi,938
1395,Burrito,931
97,Shredded potatoes with salad,896
1834,Mixed wonton,877
1040,Bacon pasta,810
247,Sausage pizza,800
385,Seaweed sushi,785
558,Yam spring rolls,769
1479,Fried chicken chop,758
1966,Shredded lettuce salad,619
19,Tobiko warship sushi,577
1655,Fried dumpling,519
830,California roll sushi,502
12,Brownie,500
281,Shredded potato burrito,500
528,Fried chicken with hot peppers,500
174,Fruit pizza,499
497,Camphor tea duck,498
675,Flower love sushi,497
1306,Matcha ice cream,496
974,Croissant,493
1838,Curry sirloin,493
22,Potato salad,490
65,Dumplings,490
787,Chinese seaweed salad,489
976,Cheese pizza,486
735,Family portrait sushi,485
325,Ice cream cone,484
773,Avocado salad,484
1193,Pho,483
1909,Donuts,481
1461,Eggplant salad,479
1439,Flame steak,478
1157,Creamy waffle,469
1441,Margherita pizza,469
1115,Cucumber roll sushi,465
1807,Caesar salad,462
186,Chinese salad,459
1198,Roti prata,459
1600,Bacon ham pizza,459
1014,Creamy bacon pasta,457
769,Floss sushi,456
1412,Supreme pizza,455
806,Fried chicken with mushroom,451
1472,Ribeye steak,451
736,Durian cheese pizza,448
916,Durian pizza,447
1120,Spicy ramen,442
1920,Fruit and vegetable salad,442
1215,Tamago nigiri sushi,440
1068,Fried chicken legs,437
1564,T-bone steak,437
510,Fillet steak,434
191,Spicy cabbage sushi roll,432
1825,Black pepper steak,429
1510,Fruit steak,419
948,Foie gras sushi,418
1852,Ice cream egg puff,413
644,Banana pizza,400
837,New orleans pizza,398
900,Sweet and spicy fried chicken,398
341,Sushi of floss,397
706,Tofu skin sushi,396
1052,Meat dumplings,387
361,Bacon sandwich,386
832,Tonkotsu ramen,386
1996,Vanilla ice cream,381
1566,Fried ice cream,380
935,Fried chicken with edamame,376
1178,Egg yolk meat dumpling,371
1098,California hand-rolled sushi,369
1284,Corn warship sushi,368
66,Tomato pasta,363
1139,Fried chicken wings tip,359
330,Ice cream ball,352
889,Cheese bacon pizza,346
519,Salami pizza,344
1766,Eel roll sushi,344
1624,Nigiri sushi,343
1963,Stir-fried chicken with pickled peppers,343
1539,Steamed dumpling,333
1212,Mango roll sushi,332
1262,Fried tempura,316
1572,Shin ramen,314
1122,Fruit salad,311
1238,Egg and ham sandwich,296
764,Wild vegetable dumpling,294
287,Oreo ice cream,289
1939,Durian pulp ice cream,287
1636,Haagen-Dazs ice cream,267
1783,Braised steak fillet,266
1082,Fried small spring rolls,251
530,Steamed egg dumplings,236
1202,Fragrant egg yolk roll sushi,228
1340,Corn salad,198
1780,Strawberry ice cream,173
1544,Spaghetti black pepper beef,1990
104,Braised pork on rice,1887
315,Pan-fried pork bun,1569
1057,Barbecued pork noodles,1523
149,Mutton soup,1279
572,Steamed pork ribs with glutinous rice,1243
822,Pork belly chicken,1189
1161,Egg fried rice,1134
1281,Tuna sashimi,1129
1843,Mutton hot pot,1111
1712,Noodles with beef,1110
1012,Sausage fried rice,1108
593,Mushroom chicken claypot rice,1095
1282,Stewed chicken soup,1012
1964,Cold rice cake,995
1943,Beef soup,987
1023,Fish flavored shredded pork,971
1373,Yuxiang pork rice bowl,971
156,Beef claypot rice,970
1865,Chicken hot pot,965
1757,Popcorn chicken,964
801,Chicken chop rice,962
1719,Fish porridge,958
1270,Barbecued pork noodle,947
1192,Laoganma fried rice,920
1376,Bacon fried rice,908
563,Winter melon pork ribs soup,868
1551,Beef rice,826
1405,Dried squid and shrimp,767
1879,Sliced pork soup,746
367,Rice with teriyaki drumstick,745
1379,Mushroom stewed chicken noodle,579
971,Chicken wing rice,501
702,Fried rice with ham,500
1253,Rice wine and egg drop soup,500
1611,Soy sauce fried rice,500
1729,Stewed noodles with mutton,500
4,Noodles with pork chop,499
343,Braised beef brisket en casserole,499
1356,Beef pan noodle,499
1840,Fried rice with sausage,499
1951,Braised pork rice,499
446,Pork chop soup with radish,498
791,Green pepper shredded pork rice bowl,498
1459,Hot pot chicken giblets,498
1093,Hot pot fish,497
81,Spicy cabbage fried rice,493
1597,Chicken porridge,492
918,Pork chop bun,490
931,Seafood noodles,482
870,Chicken noodles,481
869,Macaron,476
586,Mango mousse cake,473
1642,Egg beef porridge,467
1835,Glutinous rice cake with brown sugar,467
566,Eggplant rice with fish aroma,463
1456,Caramel pudding,463
1854,Rice with chicken leg,462
1371,Chocolate fruit cake,460
389,Salted pork in jelly crystal trotter,457
1250,Beef noodles,450
452,Fried noodles with beef,447
74,Stir-fried pork with rice white,445
172,River noodles in pig soup,445
1752,Tofu pudding,444
603,Vegetable and lean pork porridge,439
745,Egg ham fried rice,439
1123,Shrimp porridge,439
1829,Seafood noodle bumps,439
1877,Kung Pao chicken with rice,439
1095,Seafood tofu soup,438
460,Fried rice with eel,434
576,Braised beef noodles,434
821,Meatball soup,433
909,Tuna and seaweed rolled rice,433
1583,Shrimp wanton noodles,433
776,Purple rice porridge,432
1656,Crispy pork rice,432
138,Pork sauerkraut bun,429
899,Tapioca pudding,429
1610,Lotus root pork ribs soup,429
471,Corn pudding crispy,428
240,Black rice porridge,426
1301,Rice casserole,426
163,Pork with preserved vegetable rice,425
991,Sauerkraut fried rice,423
1036,Fried noodle with shredded pork,423
410,Pork rice,422
1567,Sauerkraut beef noodle,422
140,Beef brisket noodle,421
525,Beef hot and sour noodle,420
826,Chocolate poppy cake,420
1442,Casserole pork knuckle pot,419
942,Spicy beef noodle,409
1418,Fish pan cake,408
82,Pineapple fritters shrimp,406
986,Braised chicken in casserole,406
1324,Cold jellyfish,405
1916,Baked cheesy seafood baked rice,403
1286,Shrimp and crab pot,401
1350,Beef vermicelli soup,401
874,Spicy chicken rice,400
1094,Prawn casserole,400
885,Crispy rice cake,399
1929,Twice-cooked pork with rice,399
1981,Crab and cheese soft pretzel,398
1234,Seaweed pork floss bread,397
405,Noodles soup,396
1814,Chicken soup,392
1896,Lobster rice bowl,392
595,Tomato beef noodle,385
321,Pork noodles,382
32,Chicken casserole,381
1118,Boiled chicken rice,380
233,Chicken rice,379
244,Stewed chicken soup with cordyceps flower,379
1318,Braised chicken and rice,378
245,Sour soup pork,374
1750,Water-chestnut pudding,372
683,Egg yolk pork floss seaweed rice,370
1517,Cut noodles in casserole,369
1599,Beef noodle,369
890,Black rice and red bean porridge,368
250,Fried noodles with seafood,364
1982,Toasted bread,362
403,Spicy beef soup,360
1223,Mochi bun,359
1740,Pineapple fried rice,359
1823,Fish and egg noodles,352
629,Smoked fish noodle,351
1268,Bread crab,350
318,Fried rice with sauerkraut and egg,346
1112,Fried rice of yangzhou style,343
1874,Fried beef rice with bitter melon,334
1769,Fish and mutton,333
1448,Sweet shrimp sashimi,331
506,Beef rice roll,326
305,Chocolate brown cake,324
1388,Sauerkraut pork noodle,324
1528,Yam pork ribs soup,318
674,Egg pudding,316
91,Braised beef brisket on rice,311
266,Mango sticky rice cake,311
1772,Fried rice with bacon,309
589,Fried rice with bacon and egg,304
565,Grilled rice cake,299
391,Barbecued pork noodle rolls,294
478,Fish ball soup,294
415,Steamed rice with barbecued pork,292
746,Peony shrimp sashimi,288
1937,Chocolate toast,286
983,Glutinous rice cake,285
160,Hot pot noodles,283
1806,Coconut pudding,283
1064,Fried noodles with shredded pork,282
226,Lotus seed pork belly soup,279
954,Chocolate sundae,274
1398,Sour soup with beef,270
785,Black rice cake,243
1308,Pork knuckle soup powder,217
1615,Shrimp noodles,215
722,Cucumber mixed jellyfish,214
128,Matcha mousse cake,197
1830,Steamed chicken with rice in lotus leaf,191
